emp_id,Earnings
526540,6096
859327,4283
887387,3438
779497,6225
896517,5148
220965,8172
721091,8181
633636,9179
823898,8162
413865,8129
439483,8293
809408,7270
748190,9603
397283,9462
553684,3250
495667,4726
936158,2210
537591,7466
909018,8417
878666,2488
995710,9393
511059,6786
754455,3408
489275,3142
500905,7790
984409,5197
812053,9109
550206,2787
728053,9388
184257,5365
235295,7815
767674,3570
391837,6842
466560,6210
900756,2295
678628,5135
492527,2141
886060,4955
366431,8487
331297,7925
496541,7306
654617,9344
163409,7590
299088,2920
961442,7122
155097,2692
976422,2568
138911,2199
160938,7718
399707,9404
713294,2610
627298,6592
709884,5476
932773,2576
796605,7040
885395,7374
411503,8263
622405,2428
233136,7903
170637,7148
215719,6529
452163,3401
572204,6670
779517,9369
844157,2400
312726,7258
419549,8083
505927,7713
526254,2035
460226,2875
840113,3438
432820,5606
957596,9098
530134,4757
316372,4153
501658,2006
147133,3411
551149,7933
595558,2794
637407,8080
597741,3237
403534,7211
314661,2708
317987,8337
820109,2638
388558,4433
403207,2562
143711,4420
402180,8553
242388,3838
819367,7669
962291,4926
856379,3808
149972,7907
174955,5329
549389,5266
466832,2215
203380,6353
915991,8905
289172,7837
