emp_id,Salary,Raise Percent
526540,213710,10
859327,164133,13
887387,152617,15
779497,97898,25
896517,159856,14
220965,110576,22
721091,198641,11
633636,183773,12
823898,70397,39
413865,74458,36
439483,140471,16
809408,97853,25
748190,189446,11
397283,173446,13
553684,115109,21
495667,199134,11
936158,170019,13
537591,218487,10
909018,219714,10
878666,166140,13
995710,106539,23
511059,136308,17
754455,204099,10
489275,79428,33
500905,167337,13
984409,111921,21
812053,163236,13
550206,104087,23
728053,107149,22
184257,131117,17
235295,149752,15
767674,212236,10
391837,99619,25
466560,202967,10
900756,146429,15
678628,105523,23
492527,169794,13
886060,142324,16
366431,78708,34
331297,137633,17
496541,146630,15
654617,192325,11
163409,187184,11
299088,196777,11
961442,135488,17
155097,86883,29
976422,160108,14
138911,68198,41
160938,70635,39
399707,73198,37
713294,65889,43
627298,156675,14
709884,107746,22
932773,214249,10
796605,205593,10
885395,169011,13
411503,96401,26
622405,211292,10
233136,205438,10
170637,76546,35
215719,212586,10
452163,66371,43
572204,69301,40
779517,157648,14
844157,191193,11
312726,144808,16
419549,151219,15
505927,120218,19
526254,198521,11
460226,157705,14
840113,207877,10
432820,184189,12
957596,144776,16
530134,104449,23
316372,91123,28
501658,124020,19
147133,156568,14
551149,135204,17
595558,160459,14
637407,111209,21
597741,129416,18
403534,133419,17
314661,135542,17
317987,156780,14
820109,120243,19
388558,138321,16
403207,68687,41
143711,73789,37
402180,139879,16
242388,167420,13
819367,77365,34
962291,119825,20
856379,145561,15
149972,79008,33
174955,116703,20
549389,79506,33
466832,73430,37
203380,114656,21
915991,111984,21
289172,146984,15
